Countries/Regions	Record Count	% of 4.292

PEOPLES R CHINA	1665	38.793
CHINA	1343	31.291
USA	561	13.071
GERMANY	287	6.687
JAPAN	208	4.846
INDIA	207	4.823
ITALY	197	4.590
ENGLAND	185	4.310
UK	153	3.565
AUSTRIA	149	3.472
CANADA	134	3.122
BRAZIL	132	3.075
FRANCE	128	2.982
SOUTH KOREA	114	2.656
RUSSIA	109	2.540
AUSTRALIA	104	2.423
UNITED STATES	103	2.400
IRAN	97	2.260
CZECH REPUBLIC	96	2.237
POLAND	95	2.213
SPAIN	92	2.144
SWITZERLAND	67	1.561
SINGAPORE	53	1.235
ISRAEL	48	1.118
MOROCCO	47	1.095

Showing 25 out of 85 entries
26 record(s) (0.606%) do not contain data in the field being analyzed
