Countries/Regions	Record Count	% of 1.473

PEOPLES R CHINA	1244	84.453
CHINA	1004	68.160
TAIWAN	56	3.802
INDIA	54	3.666
USA	34	2.308
SAUDI ARABIA	23	1.561
SOUTH KOREA	23	1.561
IRAN	21	1.426
AUSTRALIA	20	1.358
ENGLAND	19	1.290
CANADA	18	1.222
POLAND	14	0.950
UK	14	0.950
GERMANY	12	0.815
ITALY	12	0.815
JAPAN	12	0.815
BULGARIA	11	0.747
CZECH REPUBLIC	10	0.679
SINGAPORE	8	0.543
PAKISTAN	7	0.475
IRELAND	5	0.339
PORTUGAL	5	0.339
NORTH KOREA	4	0.272
RUSSIA	4	0.272
FRANCE	3	0.204

Showing 25 out of 50 entries
1 record(s) (0.068%) do not contain data in the field being analyzed
