Countries/Regions	Record Count	% of 1.405

PEOPLES R CHINA	480	34.164
CHINA	334	23.772
USA	329	23.416
GERMANY	163	11.601
CANADA	92	6.548
ENGLAND	90	6.406
ITALY	84	5.979
UK	80	5.694
UNITED STATES	78	5.552
JAPAN	71	5.053
SPAIN	67	4.769
AUSTRALIA	64	4.555
FRANCE	56	3.986
RUSSIA	50	3.559
SINGAPORE	46	3.274
SOUTH KOREA	45	3.203
AUSTRIA	37	2.633
NETHERLANDS	35	2.491
SWITZERLAND	35	2.491
SWEDEN	30	2.135
DENMARK	28	1.993
POLAND	25	1.779
BRAZIL	22	1.566
ISRAEL	21	1.495
INDIA	20	1.423

Showing 25 out of 71 entries
7 record(s) (0.498%) do not contain data in the field being analyzed
