Countries/Regions	Record Count	% of 2.552

PEOPLES R CHINA	572	22.414
USA	468	18.339
CHINA	431	16.889
GERMANY	276	10.815
ITALY	200	7.837
JAPAN	184	7.210
AUSTRIA	158	6.191
ENGLAND	148	5.799
CANADA	143	5.603
FRANCE	116	4.545
UK	112	4.389
AUSTRALIA	97	3.801
SPAIN	96	3.762
BRAZIL	95	3.723
UNITED STATES	85	3.331
SINGAPORE	82	3.213
RUSSIA	75	2.939
SOUTH KOREA	72	2.821
POLAND	66	2.586
INDIA	63	2.469
ISRAEL	47	1.842
SWEDEN	45	1.763
SCOTLAND	44	1.724
SWITZERLAND	39	1.528
NETHERLANDS	38	1.489

Showing 25 out of 78 entries
25 record(s) (0.980%) do not contain data in the field being analyzed
